city_key,city_name_kr,date,tmax_c,tmin_c,precip_mm,precip_prob_max_pct,weathercode,weather_desc
seoul,서울,2025-10-24,19.4,11.6,0.0,3,3,흐림
dublin,더블린(아일랜드),2025-10-24,10.9,6.6,1.3,34,53,보통 이슬비
rome,로마(이탈리아),2025-10-24,10.9,6.6,1.3,34,53,보통 이슬비
machu_picchu,마추피추(페루),2025-10-24,16.0,10.4,8.1,73,95,천둥번개
seoul,서울,2025-10-24,19.4,11.6,0.0,3,3,흐림
dublin,더블린(아일랜드),2025-10-24,12.6,6.4,0.4,34,51,약한 이슬비
rome,로마(이탈리아),2025-10-24,12.6,6.4,0.4,34,51,약한 이슬비
machu_picchu,마추피추(페루),2025-10-24,16.0,10.4,8.1,73,95,천둥번개
seoul,서울,2025-10-24,19.1,11.6,0.0,15,2,부분적으로 흐림
dublin,더블린(아일랜드),2025-10-24,12.0,6.4,0.4,34,51,약한 이슬비
rome,로마(이탈리아),2025-10-24,12.0,6.4,0.4,34,51,약한 이슬비
machu_picchu,마추피추(페루),2025-10-24,16.0,10.6,8.1,73,95,천둥번개
seoul,서울,2025-10-25,18.1,11.1,0.0,8,2,부분적으로 흐림
dublin,더블린(아일랜드),2025-10-25,11.3,7.4,0.6,82,51,약한 이슬비
rome,로마(이탈리아),2025-10-25,11.3,7.4,0.6,82,51,약한 이슬비
machu_picchu,마추피추(페루),2025-10-25,17.6,10.8,4.3,73,95,천둥번개
seoul,서울,2025-10-26,13.9,8.9,0.0,13,3,흐림
dublin,더블린(아일랜드),2025-10-26,10.2,4.8,3.7,49,61,약한 비
rome,로마(이탈리아),2025-10-26,10.2,4.8,3.7,49,61,약한 비
machu_picchu,마추피추(페루),2025-10-26,17.0,10.8,4.0,85,95,천둥번개
